### 2016-07-14 14:11:02.554859852 +0200 CEST Data Acquisition: aaaa 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 57089,
[Ard], 73418790, 0, 1631830484, 220, -0.989258, 0.052979, -0.037598, 1.396947, 1.671756, 0.175573
[Ard], 73423157, 0, 1631870004, 222, -0.985596, 0.049316, -0.039307, 1.312977, 1.541985, 0.175573
[Ard], 73429764, 0, 1631909524, 221, -0.987061, 0.047607, -0.039795, 1.297710, 1.496183, 0.389313
[Ard], 73434401, 0, 1631949044, 225, -0.988770, 0.043701, -0.038086, 1.267176, 1.572519, 0.099237
[Ard], 73438835, 0, 1631988564, 222, -0.984619, 0.053955, -0.033691, 1.496183, 1.137405, 0.274809
[Ard], 73445717, 0, 1632028084, 220, -0.976562, 0.053467, -0.033203, 1.145038, 1.717557, 0.221374
[Ard], 73449699, 0, 1632067612, 221, -0.982422, 0.051270, -0.031494, 1.335878, 1.625954, 0.091603
[Ard], 73453740, 0, 1632107124, 221, -0.986084, 0.048828, -0.024170, 1.450382, 1.167939, 0.236641
[Ard], 73457773, 0, 1632146644, 221, -0.980469, 0.051758, -0.040039, 1.587786, 1.175573, 0.022901
[Ard], 73462675, 0, 1632186164, 222, -0.982178, 0.050781, -0.030029, 1.335878, 1.152672, 0.053435
[Ard], 73466594, 0, 1632225684, 220, -0.977539, 0.046631, -0.042480, 1.015267, 1.198473, 0.229008
[Ard], 73471018, 0, 1632265204, 221, -0.989502, 0.045410, -0.018799, 1.358779, 1.580153, 0.152672
[Ard], 73475786, 0, 1632304724, 221, -0.993164, 0.054199, -0.036133, 1.244275, 1.564885, 0.312977
[Ard], 73480887, 0, 1632344244, 222, -0.979736, 0.045166, -0.023438, 1.641221, 1.541985, 0.137405
[Ard], 73484586, 0, 1632383764, 221, -0.981689, 0.048828, -0.036133, 1.427481, 1.580153, 0.404580
[Ard], 73488711, 0, 1632423284, 220, -0.983398, 0.047852, -0.025391, 1.267176, 1.664122, 0.007634
[Ard], 73493583, 0, 1632462804, 221, -0.983398, 0.053467, -0.037598, 1.244275, 1.625954, 0.099237
[Ard], 73498763, 0, 1632502324, 221, -0.980713, 0.043701, -0.034668, 1.236641, 1.465649, 0.099237
[Ard], 73504574, 0, 1632541844, 221, -0.986816, 0.052979, -0.030762, 1.328244, 1.519084, 0.030534
[Ard], 73508688, 0, 1632581364, 221, -0.982910, 0.053955, -0.029785, 1.610687, 1.519084, 0.175573
[Ard], 73513894, 0, 1632620884, 220, -0.984863, 0.048828, -0.030762, 1.328244, 1.541985, 0.129771
[Ard], 73519472, 0, 1632660404, 221, -0.988281, 0.045654, -0.025879, 1.473282, 1.396947, 0.213740
[Ard], 73524666, 0, 1632699924, 221, -0.983154, 0.050293, -0.041260, 1.320611, 1.541985, 0.213740
[Ard], 73528658, 0, 1632739444, 222, -0.981689, 0.047119, -0.034912, 1.221374, 1.633588, 0.213740
[Ard], 73570295, 0, 1632778964, 221, -0.982910, 0.047119, -0.034668, 1.381679, 1.671756, 0.160305
[Ard], 73586766, 0, 1632818484, 220, -0.985352, 0.049316, -0.032715, 1.312977, 1.587786, 0.213740
[Ard], 73602858, 0, 1632858004, 221, -0.982178, 0.054932, -0.042969, 1.603053, 1.473282, 0.198473
[Ard], 73617856, 0, 1632897524, 220, -0.987305, 0.045898, -0.036621, 1.251908, 1.580153, 0.206107
[Ard], 73639717, 0, 1632937044, 221, -0.988525, 0.050293, -0.025146, 1.351145, 1.633588, 0.251908
[Ard], 73647338, 0, 1632976564, 221, -0.983643, 0.050537, -0.029053, 1.389313, 1.328244, 0.274809
[Ard], 73656423, 0, 1633016084, 220, -0.987305, 0.054443, -0.038818, 1.389313, 1.328244, 0.221374
[Ard], 73666376, 0, 1633055604, 222, -0.982178, 0.046631, -0.028564, 1.160305, 1.496183, 0.190840
[Ard], 73676815, 0, 1633095124, 220, -0.987061, 0.050781, -0.028809, 1.335878, 1.519084, 0.206107
[Ard], 73692056, 0, 1633134644, 221, -0.980225, 0.051758, -0.029297, 1.053435, 1.358779, 0.335878
[Ard], 73716568, 0, 1633174164, 226, -0.977051, 0.050781, -0.032715, 1.389313, 1.709924, 0.106870
[Ard], 73722534, 0, 1633213684, 221, -0.981934, 0.047607, -0.030518, 1.335878, 1.488550, 0.083969
[Ard], 73727976, 0, 1633253204, 226, -0.982666, 0.053955, -0.031738, 1.290076, 1.618321, 0.312977
[Ard], 73738745, 0, 1633292724, 225, -0.979248, 0.047852, -0.034912, 1.129771, 1.526718, 0.114504
[Ard], 73750231, 0, 1633332252, 226, -0.983643, 0.044678, -0.035156, 1.343511, 1.595420, 0.122137
[Ard], 73760338, 0, 1633371764, 226, -0.983398, 0.053223, -0.033936, 1.366412, 1.404580, 0.305344
[Ard], 73777859, 0, 1633411284, 226, -0.985840, 0.051514, -0.032227, 1.458015, 1.465649, 0.122137
[Ard], 73783466, 0, 1633450804, 221, -0.985840, 0.046143, -0.041992, 1.381679, 1.572519, 0.167939
[Ard], 73787570, 0, 1633490324, 225, -0.981689, 0.040283, -0.033203, 1.129771, 1.641221, 0.244275
[Ard], 73791801, 0, 1633529844, 226, -0.985107, 0.049805, -0.030273, 1.290076, 1.572519, 0.297710
[Ard], 73795580, 0, 1633569364, 226, -0.980957, 0.050049, -0.037354, 1.267176, 1.755725, 0.152672
[Ard], 73804908, 0, 1633608884, 226, -0.979980, 0.045410, -0.034668, 1.305344, 1.435115, 0.251908
[Ard], 73817076, 0, 1633648404, 226, -0.984863, 0.044434, -0.031494, 1.526718, 1.816794, 0.129771
[Ard], 73823141, 0, 1633687924, 225, -0.989258, 0.045410, -0.038330, 1.122137, 1.687023, 0.305344
[Ard], 73833194, 0, 1633727444, 221, -0.977539, 0.047607, -0.032471, 1.480916, 1.465649, 0.374046
[Ard], 73839409, 0, 1633766964, 226, -0.979248, 0.054688, -0.028809, 1.343511, 1.450382, 0.076336
[Ard], 73848247, 0, 1633806484, 226, -0.983398, 0.046387, -0.032471, 1.374046, 1.580153, 0.381679
[Ard], 73859363, 0, 1633846004, 226, -0.985596, 0.047607, -0.024414, 1.335878, 1.572519, 0.137405
[Ard], 73866892, 0, 1633885524, 220, -0.980713, 0.052002, -0.036133, 1.427481, 1.450382, 0.328244
[Ard], 73879810, 0, 1633925044, 226, -0.983398, 0.045410, -0.037842, 1.351145, 1.488550, 0.091603
[Ard], 73892042, 0, 1633964564, 226, -0.988037, 0.059082, -0.034424, 1.389313, 1.603053, 0.114504
[Ard], 73901644, 0, 1634004084, 226, -0.986328, 0.044189, -0.036133, 1.312977, 1.412214, 0.282443
[Ard], 73910630, 0, 1634043604, 226, -0.985352, 0.050781, -0.024414, 1.152672, 1.587786, 0.358779
[Ard], 73919059, 0, 1634083124, 225, -0.984863, 0.043701, -0.033936, 1.351145, 1.465649, 0.236641
[Ard], 73925237, 0, 1634122644, 226, -0.980225, 0.055420, -0.031494, 1.282443, 1.412214, 0.045802
[Ard], 74004787, 0, 1634162164, 225, -0.983154, 0.052002, -0.032715, 1.381679, 1.572519, 0.106870
[Ard], 74014109, 0, 1634201684, 226, -0.988770, 0.046631, -0.034912, 1.267176, 1.580153, 0.221374
[Ard], 74022218, 0, 1634241204, 226, -0.988037, 0.047607, -0.044922, 1.099237, 1.541985, 0.251908
[Ard], 74029521, 0, 1634280724, 220, -0.984619, 0.049316, -0.042725, 1.320611, 1.641221, 0.129771
[Ard], 74037639, 0, 1634320244, 221, -0.980713, 0.050781, -0.031250, 1.259542, 1.488550, 0.000000
[Ard], 74046351, 0, 1634359764, 225, -0.986328, 0.047607, -0.036377, 1.389313, 1.526718, 0.122137
[Ard], 74055138, 0, 1634399284, 226, -0.979004, 0.050781, -0.032227, 1.106870, 1.740458, 0.282443
[Ard], 74064816, 0, 1634438804, 226, -0.982178, 0.052979, -0.025635, 1.389313, 1.625954, 0.259542
